NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
CESENA FIERA S.P.A.;Cesena;FC;€ 5'362'053;2023-05-18
CESENA TRASPORTI S.R.L.;Cesena;FC;€ 5'340'140;2023-05-18
TELEMECCANICA SRL;Cesena;FC;€ 5'338'085;2023-05-18
CEMENTISTI S.P.A.;Cesena;FC;€ 5'263'466;2023-05-18
CIA ROMAGNA SERVIZI S.R.L.;Cesena;FC;€ 5'255'582;2023-05-18
TECO IMPIANTI S.R.L.;Cesena;FC;€ 5'220'018;2023-05-18
FERRO BAC S.R.L.;Cesena;FC;€ 5'198'232;2023-05-18
GES.CO S.R.L.;Cesena;FC;€ 5'188'645;2023-05-18
QUATTRO STAGIONI - SOCIETA' A RESPONSABILITA';Cesena;FC;€ 5'168'673;2023-05-18
ENGINEERING S.R.L.;Cesena;FC;€ 5'137'724;2023-05-18
ATR-SOCIETA CONSORTILE A RESPONSABILITA LIM;Cesena;FC;€ 5'120'090;2023-05-18
BIOPLANET SOCIETA' COOPERATIVA AGRICOLA IN SI;Cesena;FC;€ 5'088'696;2023-05-18
QGS S.R.L.;Cesena;FC;€ 5'064'588;2023-05-18
TULIPS SOCIETA' PER AZIONI;Cesena;FC;€ 5'011'748;2023-05-18
EDILZETA DI ZANOTTI GIANLUCA S.R.L.;Cesena;FC;€ 4'992'737;2023-05-18
MITEC S.R.L.;Cesena;FC;€ 4'964'710;2023-05-18
GIUNCHI SRL;Cesena;FC;€ 4'871'539;2023-05-18
MONDO SOFA GROUP S.R.L.;Cesena;FC;€ 4'819'771;2023-05-18
AUTOMA 2000 SRL;Cesena;FC;€ 4'809'623;2023-05-18
SEAR COSTRUZIONI STRADALI S.P.A.;Cesena;FC;€ 4'642'051;2023-05-18
FABBRI & SACCHETTI S.R.L.;Cesena;FC;€ 4'615'923;2023-05-18
HI TECHNOLOGY SERVICE S.R.L.;Cesena;FC;€ 4'550'379;2023-05-18
HYPERTEC SOLUTION SRL;Cesena;FC;€ 4'541'826;2023-05-18
SIC SRL;Cesena;FC;€ 4'535'611;2023-05-18
LUNAFILM S.P.A.;Cesena;FC;€ 4'427'042;2023-05-18
