NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
COMMERCIO FRUTTA DI ROMAGNA S.R.L.;Forli';FC;€ 5'263'581;2023-05-18
IPERPNEUS S.R.L.;Forli';FC;€ 5'260'894;2023-05-18
ENERGIA COMPOSITA SRL;Forli';FC;€ 5'232'327;2023-05-18
SMEV S.R.L.;Forli';FC;€ 5'228'263;2023-05-18
LEONI S.P.A.;Forli';FC;€ 5'225'370;2023-05-18
FIORINI IMBALLAGGI S.R.L.;Forli';FC;€ 5'169'333;2023-05-18
FMI S.R.L.;Forli';FC;€ 5'164'397;2023-05-18
TRASCOOP TRASPORTI SOCIETA' COOPERATIVA IN SI;Forli';FC;€ 5'119'449;2023-05-18
DESIGNED FOR LIVING S.R.L.;Forli';FC;€ 5'103'218;2023-05-18
FRIGOTERMICA S.R.L.;Forli';FC;€ 5'092'618;2023-05-18
STAMPRES - S.R.L.;Forli';FC;€ 5'072'989;2023-05-18
ISOLCENTER S.R.L.;Forli';FC;€ 5'052'910;2023-05-18
MANCINI MARIA S.R.L.;Forli';FC;€ 5'052'527;2023-05-18
GUANTIFICIO DUE ESSE S.R.L.;Forli';FC;€ 5'049'264;2023-05-18
VIGNOLI - S.R.L.;Forli';FC;€ 5'034'653;2023-05-18
F.T.F. AUTOTRASPORTI S.R.L.;Forli';FC;€ 5'029'271;2023-05-18
ARTIGIANFERRO S.R.L.;Forli';FC;€ 5'020'800;2023-05-18
JRDL ITALY S.R.L.;Forli';FC;€ 5'009'477;2023-05-18
SOLES TECH. SOCIETA' COOPERATIVA;Forli';FC;€ 4'983'783;2023-05-18
STC POWER S.R.L.;Forli';FC;€ 4'924'000;2023-05-18
GIOVANE STRADA S.R.L.;Forli';FC;€ 4'844'504;2023-05-18
ORIGIN STB SRL;Forli';FC;€ 4'838'695;2023-05-18
C.C.S. - S.R.L.;Forli';FC;€ 4'745'166;2023-05-18
GESTIONE COMPLESSI COMMERCIALI S.R.L.;Forli';FC;€ 4'717'637;2023-05-18
METALCOOP - SOCIETA' COOPERATIVA IN SIGLA MET;Forli';FC;€ 4'701'108;2023-05-18
ENERLEGNO S.R.L.;Forli';FC;€ 4'677'928;2023-05-18
NAUTIC - SOCIETA' A RESPONSABILITA' LIMITATA;Forli';FC;€ 4'650'588;2023-05-18
CASADEI & PELLIZZARO - S.R.L.;Forli';FC;€ 4'642'348;2023-05-18
CCB SOCIETA' COOPERATIVA;Forli';FC;€ 4'631'940;2023-05-18
CONSTRUCTA SISTEMI SOCIETA' A RESPONSABILITA';Forli';FC;€ 4'627'871;2023-05-18
ITALPOSA S.R.L.;Forli';FC;€ 4'613'450;2023-05-18
PRIMUS FORLI' MEDICAL CENTER S.R.L.;Forli';FC;€ 4'608'915;2023-05-18
PRIMUS FORLI' MEDICAL CENTER S.R.L.;Forli';FC;€ 4'608'915;2023-05-18
INTERAVI S.R.L.;Forli';FC;€ 4'575'551;2023-05-18
ROMAGNA MACCHINE SERVICE SOCIETA' A RESPONSAB;Forli';FC;€ 4'570'884;2023-05-18
MIDA' S.R.L.;Forli';FC;€ 4'566'517;2023-05-18
PREFABBRICATI SANTERNO - S.R.L.;Forli';FC;€ 4'555'391;2023-05-18
ECOTECH ITALIA S.R.L.;Forli';FC;€ 4'540'885;2023-05-18
MANGIMI VALMORI S.R.L. IN LIQUIDAZIONE;Forli';FC;€ 4'532'358;2023-05-18
ADRIA SYSTEM - S.R.L.;Forli';FC;€ 4'524'326;2023-05-18
GIERRE PACK S.R.L.;Forli';FC;€ 4'492'528;2023-05-18
ECOTECNICA SRL;Forli';FC;€ 4'482'691;2023-05-18
RICCI & GUARDIGLI - S.R.L.;Forli';FC;€ 4'431'959;2023-05-18
PIRRONE S.R.L.;Forli';FC;€ 4'417'130;2023-05-18
COIBENT PLASTIC S.R.L.;Forli';FC;€ 4'405'198;2023-05-18
ASTOR - POLTRONE E DIVANI S.R.L.;Forli';FC;€ 4'401'940;2023-05-18
TECNESA S.R.L.;Forli';FC;€ 4'385'147;2023-05-18
SANINVEST GROUP S.R.L.;Forli';FC;€ 4'361'475;2023-05-18
COMEC SRL;Forli';FC;€ 4'344'500;2023-05-18
COSTRUZIONI GENERALI NERI S.R.L.;Forli';FC;€ 4'335'751;2023-05-18
CEDAX - SOCIETA' A RESPONSABILITA' LIMITATA;Forli';FC;€ 4'317'200;2023-05-18
SGARZANI & C. S.R.L.;Forli';FC;€ 4'311'713;2023-05-18
HAUMEA S.R.L.;Forli';FC;€ 4'294'480;2023-05-18
FORLIVESE INFISSI SRL;Forli';FC;€ 4'283'245;2023-05-18
FREE SRL;Forli';FC;€ 4'281'106;2023-05-18
CONFARTIGIANATO SERVIZI FORLI' - SOCIETA' COO;Forli';FC;€ 4'278'456;2023-05-18
PROTEX ITALIA S.R.L.;Forli';FC;€ 4'230'721;2023-05-18
TIRRENO GEST S.R.L.;Forli';FC;€ 4'206'659;2023-05-18
VENEROM S.R.L.;Forli';FC;€ 4'200'555;2023-05-18
ROMAGNOLA PROFUMI S.R.L.;Forli';FC;€ 4'187'839;2023-05-18
VIGNOLI GRAF S.R.L.;Forli';FC;€ 4'147'324;2023-05-18
L. D. LOGISTIC SRL;Forli';FC;€ 4'142'658;2023-05-18
GAZZONI S.R.L.;Forli';FC;€ 4'109'764;2023-05-18
GAZZONI S.R.L.;Forli';FC;€ 4'109'764;2023-05-18
OTOSAN SRL;Forli';FC;€ 4'102'570;2023-05-18
CENTRO DENTISTICO ROMAGNOLO S.R.L.;Forli';FC;€ 4'008'263;2023-05-18
TREOTTOUNO SOCIETA' COOPERATIVA SOCIALE O.N.L;Forli';FC;€ 3'973'318;2023-05-18
QUARZO S.R.L. - IN LIQUIDAZIONE;Forli';FC;€ 3'950'000;2023-05-18
BARTOLETTI RIMORCHI S.R.L.;Forli';FC;€ 3'948'871;2023-05-18
COR SOCIETA' COOPERATIVA AGRICOLA;Forli';FC;€ 3'930'106;2023-05-18
GORINI SRL POLTRONE E DIVANI;Forli';FC;€ 3'920'584;2023-05-18
GESTHOLDING S.R.L.;Forli';FC;€ 3'860'468;2023-05-18
ELETTRONICA CORTESI SOCIETA' A RESPONSABILITA;Forli';FC;€ 3'852'595;2023-05-18
CLIMATEK SRL;Forli';FC;€ 3'840'846;2023-05-18
MODULGRAFICA FORLIVESE S.P.A.;Forli';FC;€ 3'838'754;2023-05-18
TOKITA SEMENTI ITALIA S.R.L.;Forli';FC;€ 3'825'484;2023-05-18
ROMAGNA FACILITY MANAGEMENT SOCIETA CONSORTIL;Forli';FC;€ 3'785'953;2023-05-18
MAGLIFICIO PINI S.R.L.;Forli';FC;€ 3'760'240;2023-05-18
TRE CIVETTE GLOBAL SERVICE S.A.S. DI SHOW SER;Forli';FC;€ 3'758'991;2023-05-18
I SARTISTI SRL;Forli';FC;€ 3'746'456;2023-05-18
STAR GRAFIC - SOCIETA' A RESPONSABILITA' LIMI;Forli';FC;€ 3'731'967;2023-05-18
AT.ED. 2 S.R.L.;Forli';FC;€ 3'623'054;2023-05-18
EGAF EDIZIONI - S.R.L.;Forli';FC;€ 3'616'649;2023-05-18
COLOR LIFE S.R.L.;Forli';FC;€ 3'597'011;2023-05-18
GIGLIOLI COLORI S.R.L.;Forli';FC;€ 3'572'110;2023-05-18
TECNO SERVICE S.R.L.;Forli';FC;€ 3'499'978;2023-05-18
TFA SERVICE S.R.L.;Forli';FC;€ 3'451'989;2023-05-18
SAMORANI S.R.L.;Forli';FC;€ 3'447'596;2023-05-18
SAMORANI S.R.L.;Forli';FC;€ 3'447'596;2023-05-18
F.LLI TURCHI - S.R.L.;Forli';FC;€ 3'446'262;2023-05-18
WWW.ROBINSONPETSHOP.IT SRL;Forli';FC;€ 3'439'555;2023-05-18
TRADING SOCIETA' A RESPONSABILITA' LIMITATA;Forli';FC;€ 3'422'840;2023-05-18
UTENSILMEC S.R.L.;Forli';FC;€ 3'417'421;2023-05-18
COOPERATIVA DI SOLIDARIETA' SOCIALE PAOLO B;Forli';FC;€ 3'414'383;2023-05-18
A-PLUS AUTOMATION S.R.L.;Forli';FC;€ 3'373'587;2023-05-18
RIDERS S.R.L.;Forli';FC;€ 3'359'674;2023-05-18
NEW E.D.P. SRL;Forli';FC;€ 3'357'083;2023-05-18
SUPERGAS - S.R.L.;Forli';FC;€ 3'333'570;2023-05-18
STAR AUTO SERVICE S.R.L.;Forli';FC;€ 3'326'329;2023-05-18
CBWEED S.R.L.;Forli';FC;€ 3'318'736;2023-05-18
G R SERVICE S.R.L.;Forli';FC;€ 3'243'956;2023-05-18
RUFFILLI & RUFFILLI S.R.L.;Forli';FC;€ 3'230'472;2023-05-18
GUARDIGLI MOSAICO ASSICURA SRL;Forli';FC;€ 3'219'875;2023-05-18
CO.STELL S.R.L.;Forli';FC;€ 3'214'994;2023-05-18
GIRASOLE S.R.L.;Forli';FC;€ 3'200'000;2023-05-18
GIRASOLE S.R.L.;Forli';FC;€ 3'200'000;2023-05-18
STORK GEST S.R.L.;Forli';FC;€ 3'198'972;2023-05-18
UNIRIG S.R.L.;Forli';FC;€ 3'198'689;2023-05-18
GRAZIANI S.R.L.;Forli';FC;€ 3'164'850;2023-05-18
UNIVERSAL G. S.R.L.;Forli';FC;€ 3'162'109;2023-05-18
COOPERATIVA SOCIALE TRAGITTI - SOCIETA' COOPE;Forli';FC;€ 3'134'168;2023-05-18
FORMEC INDUSTRY SRL;Forli';FC;€ 3'132'417;2023-05-18
ITALPAK S.R.L.;Forli';FC;€ 3'111'469;2023-05-18
SASSI S.R.L.;Forli';FC;€ 3'107'768;2023-05-18
